chrom	left	right	max_coverage	gene_id	strand	pval	height	gene_name	Fold change SP/OO GL	Classification OO/SP GL	Oo. expression	Sp. expression	Wormbase ID	Program	WB ID	biotype	chrm	location
III	4263939	4263982	3	WBGene00011605	-	0	3.0	T08A11.2	0.1062097	Gender Neutral	66.8036	68.511	WBGene00011605	Oogenic only	WBGene00011605	protein_coding	III	3'UTR
V	5771698	5771755	4	WBGene00018424	+	0	4.0	F44E7.2	-1.045609	Oogenic	22.8266	11.0577	WBGene00018424	Oogenic only	WBGene00018424	protein_coding	V	3'UTR
III	69193	69232	2	WBGene00005014	-	0	2.0	spt-4	-0.1972804	Gender Neutral	101.394	81.7161	WBGene00005014	Oogenic only	WBGene00005014	protein_coding	III	3'UTR
I	13856686	13856728	4	WBGene00012241	+	0	4.0	W04A8.6	-1.998447	Oogenic	75.4925	17.9542	WBGene00012241	Oogenic only	WBGene00012241	protein_coding	I	CDS
III	5953203	5953262	3	WBGene00017775	+	0	3.0	F25B5.3	0.7952722	Gender Neutral	109.56	185.012	WBGene00017775	Oogenic and Spermatogenic	WBGene00017775	protein_coding	III	3'UTR
II	14256788	14256837	2	WBGene00235256	-	0	2.0	Y54G11A.19	0.4131088	Gender Neutral	17.6443	21.8217	WBGene00235256	Oogenic and Spermatogenic	WBGene00235256	protein_coding	II	CDS
III	4780700	4780765	2	WBGene00007171	-	0	2.0	B0393.6	-1.443492	Oogenic	89.5538	31.6805	WBGene00007171	Oogenic only	WBGene00007171	protein_coding	III	CDS
V	11818057	11818105	3	WBGene00004258	-	0	3.0	pyc-1	0.9233981	Gender Neutral	95.9063	170.457	WBGene00004258	Oogenic and Spermatogenic	WBGene00004258	protein_coding	V	3'UTR
IV	8864346	8864372	2	WBGene00007492	-	0	2.0	C09G9.1	-0.4515245	Gender Neutral	160.296	113.748	WBGene00007492	Oogenic only	WBGene00007492	protein_coding	IV	CDS
IV	11659230	11659264	2	WBGene00014087	+	0	2.0	ZK809.5	-0.2089751	Gender Neutral	62.5898	52.3048	WBGene00014087	Oogenic only	WBGene00014087	protein_coding	IV	3'UTR
I	8975482	8975526	3	WBGene00009342	-	0	3.0	fasn-1	0.5292086	Gender Neutral	24.7527	34.6889	WBGene00009342	Oogenic and Spermatogenic	WBGene00009342	protein_coding	I	3'UTR
I	8975911	8975971	4	WBGene00009342	-	0	4.0	fasn-1	0.5292086	Gender Neutral	24.7527	34.6889	WBGene00009342	Oogenic and Spermatogenic	WBGene00009342	protein_coding	I	3'UTR
III	2769774	2769808	2	WBGene00002244	-	0	2.0	laf-1					WBGene00002244		WBGene00002244	protein_coding	III	3'UTR
IV	6110232	6110280	2	WBGene00002245	+	0	2.0	lag-1	-1.523826	Oogenic	60.7658	20.1577	WBGene00002245	Oogenic only	WBGene00002245	protein_coding	IV	3'UTR
IV	6110368	6110410	2	WBGene00002245	+	0	2.0	lag-1	-1.523826	Oogenic	60.7658	20.1577	WBGene00002245	Oogenic only	WBGene00002245	protein_coding	IV	3'UTR
IV	4257857	4257911	2	WBGene00000123	+	0	2.0	ama-1	-0.03708371	Gender Neutral	61.3852	57.1865	WBGene00000123	Oogenic only	WBGene00000123	protein_coding	IV	3'UTR
V	12032261	12032335	4	WBGene00002241	-	0	4.0	kup-1	-0.5660597	Gender Neutral	131.99	85.4858	WBGene00002241	Oogenic only	WBGene00002241	protein_coding	V	3'UTR
IV	10219684	10219784	3	WBGene00007696	-	0	3.0	tram-1	-2.588185	Oogenic	142.033	23.7587	WBGene00007696	Oogenic only	WBGene00007696	protein_coding	IV	3'UTR
V	11071840	11071933	2	WBGene00000065	-	0	2.0	act-3	0.2311513	Gender Neutral	554.705	624.765	WBGene00000065	Oogenic only	WBGene00000065	protein_coding	V	3'UTR
V	11071953	11072019	4	WBGene00000065	-	0	4.0	act-3	0.2311513	Gender Neutral	554.705	624.765	WBGene00000065	Oogenic only	WBGene00000065	protein_coding	V	3'UTR
X	4964047	4964145	4	WBGene00000066	+	0	4.0	act-4	0.856859	Gender Neutral	81.2064	139.166	WBGene00000066	Oogenic and Spermatogenic	WBGene00000066	protein_coding	X	3'UTR
X	4964312	4964409	4	WBGene00000066	+	0	4.0	act-4	0.856859	Gender Neutral	81.2064	139.166	WBGene00000066	Oogenic and Spermatogenic	WBGene00000066	protein_coding	X	3'UTR
I	5874728	5874758	2	WBGene00016422	-	0	2.0	noah-1					WBGene00016422		WBGene00016422	protein_coding	I	3'UTR
III	3729744	3729781	2	WBGene00009372	-	0	2.0	evl-18	-1.15615	Oogenic	83.2591	35.5622	WBGene00009372	Oogenic only	WBGene00009372	protein_coding	III	3'UTR
V	14829250	14829294	4	WBGene00004336	-	0	4.0	ret-1	-1.787073	Oogenic	312.815	96.5473	WBGene00004336	Oogenic only	WBGene00004336	protein_coding	V	3'UTR
V	14829349	14829403	4	WBGene00004336	-	0	4.0	ret-1	-1.787073	Oogenic	312.815	96.5473	WBGene00004336	Oogenic only	WBGene00004336	protein_coding	V	3'UTR
V	14829463	14829528	2	WBGene00004336	-	0	2.0	ret-1	-1.787073	Oogenic	312.815	96.5473	WBGene00004336	Oogenic only	WBGene00004336	protein_coding	V	3'UTR
V	14829534	14829566	3	WBGene00004336	-	0	3.0	ret-1	-1.787073	Oogenic	312.815	96.5473	WBGene00004336	Oogenic only	WBGene00004336	protein_coding	V	3'UTR
II	7377114	7377184	3	WBGene00018390	+	0	3.0	F43E2.1	0.9622118	Gender Neutral	18.3778	34.6143	WBGene00018390	Oogenic only	WBGene00018390	protein_coding	II	CDS
II	8725045	8725128	3	WBGene00011312	+	0	3.0	trcs-2	-1.597746	Oogenic	88.2197	27.6914	WBGene00011312	Oogenic only	WBGene00011312	protein_coding	II	3'UTR
III	9470095	9470132	3	WBGene00000268	-	0	3.0	bre-3	1.043024	Spermatogenic	54.9376	105.151	WBGene00000268	Oogenic and Spermatogenic	WBGene00000268	protein_coding	III	3'UTR
III	9470359	9470425	2	WBGene00000268	-	0	2.0	bre-3	1.043024	Spermatogenic	54.9376	105.151	WBGene00000268	Oogenic and Spermatogenic	WBGene00000268	protein_coding	III	3'UTR
III	9485421	9485475	2	WBGene00000268	-	0	2.0	bre-3	1.043024	Spermatogenic	54.9376	105.151	WBGene00000268	Oogenic and Spermatogenic	WBGene00000268	protein_coding	III	5'UTR
II	7155356	7155390	2	WBGene00016173	+	0	2.0	fust-1	-0.05984563	Gender Neutral	92.8375	88.3915	WBGene00016173	Oogenic only	WBGene00016173	protein_coding	II	3'UTR
V	6765913	6765990	4	WBGene00020808	-	0	4.0	T25F10.6	0.9422566	Gender Neutral	27.5374	51.3914	WBGene00020808	Spermatogenic only	WBGene00020808	protein_coding	V	3'UTR
X	8721556	8721601	3	WBGene00006587	-	0	3.0	tnt-2	0.926838	Gender Neutral	10.9686	19.9635	WBGene00006587	Oogenic only	WBGene00006587	protein_coding	X	3'UTR
X	8721713	8721774	2	WBGene00006587	-	0	2.0	tnt-2	0.926838	Gender Neutral	10.9686	19.9635	WBGene00006587	Oogenic only	WBGene00006587	protein_coding	X	3'UTR
IV	2390195	2390234	2	WBGene00021420	+	0	2.0	trap-3	0.7888507	Gender Neutral	254.284	421.506	WBGene00021420	Oogenic and Spermatogenic	WBGene00021420	protein_coding	IV	3'UTR
III	3112604	3112651	2	WBGene00021820	-	0	2.0	nipa-1	1.596061	Spermatogenic	27.8473	86.6992	WBGene00021820	Oogenic and Spermatogenic	WBGene00021820	protein_coding	III	3'UTR
V	12198563	12198608	2	WBGene00003057	-	0	2.0	lon-3					WBGene00003057		WBGene00003057	protein_coding	V	5'UTR
IV	4608110	4608143	2	WBGene00017591	+	0	2.0	F19C7.1	1.616362	Gender Neutral	6.65158	21.4393	WBGene00017591	Spermatogenic only	WBGene00017591	protein_coding	IV	3'UTR
I	10435694	10435752	3	WBGene00003902	-	0	3.0	pab-1	0.5404999	Gender Neutral	1202.41	1714.95	WBGene00003902	Oogenic and Spermatogenic	WBGene00003902	protein_coding	I	5'UTR
II	6092817	6092852	2	WBGene00017686	-	0	2.0	tpp-2	0.4930644	Gender Neutral	113.144	154.555	WBGene00017686	Oogenic only	WBGene00017686	protein_coding	II	3'UTR
V	13664169	13664217	2	WBGene00010279	+	0	2.0	letm-1	-0.03078505	Gender Neutral	76.2375	70.7908	WBGene00010279	Oogenic only	WBGene00010279	protein_coding	V	3'UTR
II	7773998	7774043	2	WBGene00015512	-	0	2.0	mthf-1	0.8560004	Gender Neutral	89.2385	152.55	WBGene00015512	Oogenic only	WBGene00015512	protein_coding	II	3'UTR
III	6118720	6118776	4	WBGene00002201	+	0	4.0	kin-18	0.07631307	Gender Neutral	63.1514	63.2071	WBGene00002201	Oogenic only	WBGene00002201	protein_coding	III	5'UTR
II	151777	151844	2	WBGene00020798	+	0	2.0	T25D3.4					WBGene00020798	Oogenic only	WBGene00020798	protein_coding	II	CDS
I	8765194	8765255	2	WBGene00003052	+	0	2.0	lmn-1	0.1266356	Gender Neutral	190.549	198.493	WBGene00003052	Oogenic only	WBGene00003052	protein_coding	I	3'UTR
X	6408583	6408660	3	WBGene00003495	-	0	3.0	mup-2	0.6652096	Gender Neutral	39.608	60.3312	WBGene00003495	Spermatogenic only	WBGene00003495	protein_coding	X	3'UTR
III	7070901	7070988	3	WBGene00003022	-	0	3.0	lin-37	-1.425111	Oogenic	103.421	36.5662	WBGene00003022	Oogenic only	WBGene00003022	protein_coding	III	3'UTR
II	6972723	6972771	3	WBGene00004930	-	0	3.0	sod-1	0.1705495	Gender Neutral	355.938	383.671	WBGene00004930	Oogenic only	WBGene00004930	protein_coding	II	3'UTR
III	8489178	8489225	2	WBGene00018371	-	0	2.0	ess-2	0.04109202	Gender Neutral	57.5098	57.6616	WBGene00018371	Oogenic only	WBGene00018371	protein_coding	III	CDS
IV	13522008	13522040	4	WBGene00004681	-	0	4.0	rsd-2	-0.7408014	Gender Neutral	55.5413	32.9663	WBGene00004681	Oogenic only	WBGene00004681	protein_coding	IV	3'UTR
IV	13522041	13522084	4	WBGene00004681	-	0	4.0	rsd-2	-0.7408014	Gender Neutral	55.5413	32.9663	WBGene00004681	Oogenic only	WBGene00004681	protein_coding	IV	3'UTR
I	14104552	14104595	2	WBGene00001047	-	0	2.0	dnj-29	0.4973224	Gender Neutral	88.3542	119.015	WBGene00001047	Oogenic only	WBGene00001047	protein_coding	I	3'UTR
II	8043488	8043530	2	WBGene00011507	+	0	2.0	T05H10.1	-0.3986334	Gender Neutral	86.1807	63.1116	WBGene00011507	Oogenic only	WBGene00011507	protein_coding	II	CDS
II	8047098	8047142	2	WBGene00011507	+	0	2.0	T05H10.1	-0.3986334	Gender Neutral	86.1807	63.1116	WBGene00011507	Oogenic only	WBGene00011507	protein_coding	II	3'UTR
II	8221546	8221628	2	WBGene00002066	+	0	2.0	ifg-1	0.1447088	Gender Neutral	234.965	246.909	WBGene00002066	Oogenic only	WBGene00002066	protein_coding	II	3'UTR
II	8221647	8221749	4	WBGene00002066	+	0	3.0	ifg-1	0.1447088	Gender Neutral	234.965	246.909	WBGene00002066	Oogenic only	WBGene00002066	protein_coding	II	3'UTR
I	6289024	6289087	4	WBGene00015687	+	0	4.0	C10G11.7	-1.736386	Oogenic	234.693	67.1071	WBGene00015687	Oogenic only	WBGene00015687	protein_coding	I	3'UTR
I	6289183	6289244	2	WBGene00015687	+	0	2.0	C10G11.7	-1.736386	Oogenic	234.693	67.1071	WBGene00015687	Oogenic only	WBGene00015687	protein_coding	I	3'UTR
II	8559444	8559485	4	WBGene00002065	-	0	4.0	iff-2	1.17539	Gender Neutral	36.0742	75.314	WBGene00002065	Oogenic and Spermatogenic	WBGene00002065	protein_coding	II	3'UTR
II	8559496	8559578	2	WBGene00002065	-	0	2.0	iff-2	1.17539	Gender Neutral	36.0742	75.314	WBGene00002065	Oogenic and Spermatogenic	WBGene00002065	protein_coding	II	3'UTR
I	6273708	6273745	2	WBGene00015688	-	0	2.0	C10G11.8	10.18611	Spermatogenic	0.621235	661.226	WBGene00015688	Spermatogenic only	WBGene00015688	protein_coding	I	5'UTR
V	12360191	12360248	2	WBGene00009094	+	0	2.0	F23H12.5					WBGene00009094		WBGene00009094	protein_coding	V	CDS
V	20267536	20267594	2	WBGene00013766	-	0	2.0	prmt-1	-0.094166	Gender Neutral	782.706	710.086	WBGene00013766	Oogenic and Spermatogenic	WBGene00013766	protein_coding	V	3'UTR
III	11831382	11831431	2	WBGene00003826	-	0	2.0	ntl-3	-0.01030158	Gender Neutral	130.179	124.851	WBGene00003826	Oogenic only	WBGene00003826	protein_coding	III	3'UTR
V	7189889	7189931	2	WBGene00017316	-	0	2.0	F09G2.8	-0.4964119	Gender Neutral	98.9723	68.1647	WBGene00017316	Oogenic only	WBGene00017316	protein_coding	V	CDS
III	5793903	5793937	2	WBGene00020964	-	0	2.0	polq-1	0.04201119	Gender Neutral	22.1202	22.0967	WBGene00020964	Oogenic only	WBGene00020964	protein_coding	III	CDS
II	13160120	13160157	2	WBGene00009307	+	0	2.0	F32A11.1	0.5542682	Gender Neutral	111.069	156.72	WBGene00009307	Oogenic and Spermatogenic	WBGene00009307	protein_coding	II	3'UTR
II	1322629	1322764	2	WBGene00006924	+	0	2.0	vig-1	0.1100906	Gender Neutral	1751.11	1848.75	WBGene00006924	Oogenic and Spermatogenic	WBGene00006924	protein_coding	II	CDS
IV	6762197	6762253	3	WBGene00019259	+	0	3.0	H34C03.2	-0.160421	Gender Neutral	138.175	121.274	WBGene00019259	Oogenic only	WBGene00019259	protein_coding	IV	3'UTR
X	4192882	4192938	4	WBGene00006921	+	0	4.0	vha-12	-1.335353	Oogenic	73.79	27.8804	WBGene00006921	Oogenic and Spermatogenic	WBGene00006921	protein_coding	X	3'UTR
IV	1327989	1328062	2	WBGene00018778	+	0	2.0	F53H1.4	-1.407018	Oogenic	54.7048	20.0761	WBGene00018778	Oogenic only	WBGene00018778	protein_coding	IV	3'UTR
III	4015985	4016058	2	WBGene00006537	-	0	2.0	tbb-2					WBGene00006537	Oogenic and Spermatogenic	WBGene00006537	protein_coding	III	3'UTR
III	4016869	4016919	3	WBGene00006537	-	0	3.0	tbb-2					WBGene00006537	Oogenic and Spermatogenic	WBGene00006537	protein_coding	III	CDS
III	11279587	11279632	2	WBGene00012934	-	0	2.0	gly-9					WBGene00012934		WBGene00012934	protein_coding	III	3'UTR
II	10788347	10788391	2	WBGene00011067	-	0	2.0	vps-11	-1.307019	Oogenic	24.2906	9.42053	WBGene00011067	Oogenic only	WBGene00011067	protein_coding	II	3'UTR
IV	202421	202474	2	WBGene00000815	+	0	2.0	csn-3	0.2327027	Gender Neutral	93.6612	103.787	WBGene00000815	Oogenic and Spermatogenic	WBGene00000815	protein_coding	IV	3'UTR
V	20667845	20667929	2	WBGene00012186	+	0	2.0	mlt-11					WBGene00012186		WBGene00012186	protein_coding	V	CDS
IV	3032955	3033007	4	WBGene00022069	-	0	4.0	eel-1	0.7104965	Gender Neutral	54.1994	86.9489	WBGene00022069	Oogenic only	WBGene00022069	protein_coding	IV	3'UTR
V	14653162	14653194	2	WBGene00004060	+	0	2.0	pmp-3	-1.196822	Oogenic	49.0328	20.4826	WBGene00004060	Oogenic only	WBGene00004060	protein_coding	V	3'UTR
II	11039866	11039905	3	WBGene00000472	-	0	3.0	cey-1	-0.3132627	Gender Neutral	318.346	247.455	WBGene00000472	Oogenic only	WBGene00000472	protein_coding	II	3'UTR
II	11039911	11039973	3	WBGene00000472	-	0	3.0	cey-1	-0.3132627	Gender Neutral	318.346	247.455	WBGene00000472	Oogenic only	WBGene00000472	protein_coding	II	3'UTR
V	11566812	11566875	2	WBGene00004064	-	0	2.0	pms-2	-0.2145803	Gender Neutral	34.1176	28.1476	WBGene00004064	Oogenic only	WBGene00004064	protein_coding	V	3'UTR
V	11569515	11569568	2	WBGene00004064	-	0	2.0	pms-2	-0.2145803	Gender Neutral	34.1176	28.1476	WBGene00004064	Oogenic only	WBGene00004064	protein_coding	V	CDS
IV	4511995	4512092	3	WBGene00022678	-	0	3.0	sar-1	-0.04984473	Gender Neutral	205.958	188.003	WBGene00022678	Oogenic and Spermatogenic	WBGene00022678	protein_coding	IV	3'UTR
V	16746156	16746205	2	WBGene00012020	-	0	2.0	gyg-2	-3.272003	Oogenic	477.368	47.046	WBGene00012020	Oogenic and Spermatogenic	WBGene00012020	protein_coding	V	CDS
V	13315728	13315763	4	WBGene00008219	+	0	4.0	C50B6.3	-1.467133	Oogenic	97.1651	34.1927	WBGene00008219	Oogenic only	WBGene00008219	protein_coding	V	3'UTR
III	9814553	9814590	2	WBGene00000567	-	0	2.0	cnx-1	0.4039792	Gender Neutral	152.441	195.743	WBGene00000567	Oogenic and Spermatogenic	WBGene00000567	protein_coding	III	3'UTR
I	3264285	3264317	3	WBGene00021552	-	0	3.0	zip-4	-0.5581119	Gender Neutral	79.9107	47.3584	WBGene00021552	Oogenic only	WBGene00021552	protein_coding	I	3'UTR
III	13346793	13346834	3	WBGene00009952	+	0	3.0	F53A2.7	0.05489091	Gender Neutral	122.732	123.394	WBGene00009952	Oogenic and Spermatogenic	WBGene00009952	protein_coding	III	3'UTR
IV	11154272	11154323	2	WBGene00007444	+	0	2.0	C08F8.2	0.1540379	Gender Neutral	43.8418	46.7816	WBGene00007444	Oogenic only	WBGene00007444	protein_coding	IV	3'UTR
IV	1176853	1176901	2	WBGene00016796	+	0	2.0	cec-2	-0.3819038	Gender Neutral	35.1768	22.4522	WBGene00016796	Oogenic only	WBGene00016796	protein_coding	IV	3'UTR
IV	7906876	7906942	3	WBGene00016792	+	0	3.0	C49H3.6	-1.19484	Oogenic	44.6522	19.1383	WBGene00016792	Oogenic only	WBGene00016792	protein_coding	IV	3'UTR
I	28164	28206	2	WBGene00022279	-	0	2.0	sesn-1	0.7089128	Gender Neutral	3.40248	5.62365	WBGene00022279	Oogenic only	WBGene00022279	protein_coding	I	3'UTR
III	10167964	10168043	3	WBGene00003482	+	0	3.0	mua-3	2.319268	Spermatogenic	0.630646	2.93196	WBGene00003482	Spermatogenic only	WBGene00003482	protein_coding	III	CDS
III	10183265	10183304	3	WBGene00003482	+	0	3.0	mua-3	2.319268	Spermatogenic	0.630646	2.93196	WBGene00003482	Spermatogenic only	WBGene00003482	protein_coding	III	3'UTR
III	9462849	9462950	3	WBGene00004980	+	0	2.0	spk-1	0.1170538	Gender Neutral	191.155	203.425	WBGene00004980	Oogenic only	WBGene00004980	protein_coding	III	3'UTR
V	10365181	10365241	2	WBGene00010631	+	0	2.0	cash-1	-0.2509052	Gender Neutral	130.559	103.714	WBGene00010631	Oogenic only	WBGene00010631	protein_coding	V	3'UTR
V	10365801	10365856	2	WBGene00010631	+	0	2.0	cash-1	-0.2509052	Gender Neutral	130.559	103.714	WBGene00010631	Oogenic only	WBGene00010631	protein_coding	V	3'UTR
X	16262305	16262357	3	WBGene00003485	-	0	3.0	mua-6	1.53727	Spermatogenic	1.26624	3.63163	WBGene00003485	Spermatogenic only	WBGene00003485	protein_coding	X	3'UTR
II	13834446	13834529	4	WBGene00045119	-	0	4.0	F08G2.13					WBGene00045119		WBGene00045119	ncRNA	II	ncRNA
I	8427150	8427184	3	WBGene00008533	-	0	3.0	F02E9.10	-0.4708707	Gender Neutral	64.1359	45.3307	WBGene00008533	Oogenic only	WBGene00008533	protein_coding	I	3'UTR
V	8039723	8039825	4	WBGene00023209	-	0	4.0	ZC513.7	1.024741	Spermatogenic	55.8671	116.742	WBGene00023209	Spermatogenic only	WBGene00023209	pseudogene	V	ncRNA
III	6295328	6295364	4	WBGene00018563	-	0	4.0	F47D12.7	9.457719	Spermatogenic	0.195015	160.683	WBGene00018563	Spermatogenic only	WBGene00018563	protein_coding	III	CDS
III	5008952	5009049	4	WBGene00020097	-	0	4.0	larp-1					WBGene00020097	Oogenic only	WBGene00020097	protein_coding	III	3'UTR
III	5009347	5009393	2	WBGene00020097	-	0	2.0	larp-1					WBGene00020097	Oogenic only	WBGene00020097	protein_coding	III	3'UTR
III	5009538	5009596	2	WBGene00020097	-	0	2.0	larp-1					WBGene00020097	Oogenic only	WBGene00020097	protein_coding	III	3'UTR
III	5009771	5009868	5	WBGene00020097	-	0	4.0	larp-1					WBGene00020097	Oogenic only	WBGene00020097	protein_coding	III	3'UTR
IV	11973344	11973384	2	WBGene00006759	-	0	2.0	unc-22					WBGene00006759		WBGene00006759	protein_coding	IV	3'UTR
IV	11973525	11973572	2	WBGene00006759	-	0	2.0	unc-22					WBGene00006759		WBGene00006759	protein_coding	IV	3'UTR
V	7775737	7775772	2	WBGene00004453	-	0	2.0	rpl-39	1.072882	Spermatogenic	6916.34	13972.5	WBGene00004453	Oogenic and Spermatogenic	WBGene00004453	protein_coding	V	3'UTR
II	13449106	13449169	2	WBGene00004116	-	0	2.0	pqn-27	0.02480184	Gender Neutral	45.9794	47.1965	WBGene00004116	Oogenic and Spermatogenic	WBGene00004116	protein_coding	II	3'UTR
I	4951702	4951769	3	WBGene00001860	-	0	3.0	him-1					WBGene00001860	Oogenic only	WBGene00001860	protein_coding	I	3'UTR
I	6797421	6797478	4	WBGene00004110	+	0	4.0	pqn-20	-1.926323	Oogenic	73.1378	18.7714	WBGene00004110	Oogenic only	WBGene00004110	protein_coding	I	3'UTR
IV	6024637	6024679	2	WBGene00004112	-	0	2.0	pqn-22					WBGene00004112		WBGene00004112	protein_coding	IV	CDS
II	11965116	11965184	2	WBGene00012220	+	0	2.0	W03C9.2	-0.9512713	Gender Neutral	79.5309	39.4093	WBGene00012220	Oogenic only	WBGene00012220	protein_coding	II	3'UTR
IV	14468836	14468885	2	WBGene00010794	+	0	2.0	dld-1	0.4260078	Gender Neutral	204.973	262.729	WBGene00010794	Oogenic and Spermatogenic	WBGene00010794	protein_coding	IV	3'UTR
II	11485522	11485562	2	WBGene00007142	-	0	2.0	ttr-18	0.5308345	Gender Neutral	10.195	14.5756	WBGene00007142	Spermatogenic only	WBGene00007142	protein_coding	II	3'UTR
II	7863496	7863540	2	WBGene00002994	+	0	2.0	lin-5	-1.023316	Oogenic	87.5844	40.2414	WBGene00002994	Oogenic only	WBGene00002994	protein_coding	II	3'UTR
III	5505944	5506040	2	WBGene00019831	+	0	2.0	R02F2.1	-0.1951071	Gender Neutral	203.459	171.303	WBGene00019831	Oogenic only	WBGene00019831	protein_coding	III	3'UTR
III	5506141	5506233	4	WBGene00019831	+	0	4.0	R02F2.1	-0.1951071	Gender Neutral	203.459	171.303	WBGene00019831	Oogenic only	WBGene00019831	protein_coding	III	3'UTR
III	5506242	5506293	2	WBGene00019831	+	0	2.0	R02F2.1	-0.1951071	Gender Neutral	203.459	171.303	WBGene00019831	Oogenic only	WBGene00019831	protein_coding	III	3'UTR
I	10085543	10085605	3	WBGene00003508	+	0	3.0	mut-16	0.596237	Gender Neutral	32.8584	50.3611	WBGene00003508	Oogenic only	WBGene00003508	protein_coding	I	3'UTR
III	8013473	8013532	4	WBGene00000508	+	0	4.0	cit-1.2	-0.2456844	Gender Neutral	29.2369	23.7103	WBGene00000508	Oogenic only	WBGene00000508	protein_coding	III	3'UTR
II	12866504	12866546	3	WBGene00001793	-	0	3.0	gsy-1	-1.865112	Oogenic	138.043	36.8002	WBGene00001793	Oogenic only	WBGene00001793	protein_coding	II	3'UTR
V	18070024	18070066	2	WBGene00013347	-	0	2.0	Y59A8B.10	-0.3370462	Gender Neutral	79.0769	59.8714	WBGene00013347	Oogenic only	WBGene00013347	protein_coding	V	3'UTR
V	6424279	6424314	2	WBGene00020274	-	0	2.0	T05H4.11	-1.053972	Oogenic	103.899	46.1884	WBGene00020274	Oogenic and Spermatogenic	WBGene00020274	protein_coding	V	3'UTR
III	9082470	9082508	2	WBGene00001386	+	0	2.0	far-2	1.550288	Spermatogenic	978.04	2705.28	WBGene00001386	Oogenic and Spermatogenic	WBGene00001386	protein_coding	III	3'UTR
V	10185943	10185985	4	WBGene00194912	-	0	4.0	ZK856.18	10.38497	Spermatogenic	0.0962711	113.082	WBGene00194912	Spermatogenic only	WBGene00194912	protein_coding	V	CDS
II	5034255	5034305	4	WBGene00018016	-	0	4.0	lrr-1					WBGene00018016	Oogenic only	WBGene00018016	protein_coding	II	3'UTR
III	13172917	13172971	4	WBGene00012716	+	0	4.0	Y39E4B.5	-1.400863	Oogenic	89.0722	32.6515	WBGene00012716	Oogenic only	WBGene00012716	protein_coding	III	3'UTR
V	10712394	10712450	3	WBGene00012117	-	0	3.0	T28B11.1	-0.3603928	Gender Neutral	67.9369	50.3875	WBGene00012117	Oogenic and Spermatogenic	WBGene00012117	protein_coding	V	3'UTR
V	10712482	10712509	2	WBGene00012117	-	0	2.0	T28B11.1	-0.3603928	Gender Neutral	67.9369	50.3875	WBGene00012117	Oogenic and Spermatogenic	WBGene00012117	protein_coding	V	3'UTR
III	6592769	6592819	2	WBGene00002889	-	0	2.0	let-765	-1.231262	Oogenic	32.2946	13.3908	WBGene00002889	Oogenic only	WBGene00002889	protein_coding	III	3'UTR
III	6592907	6593024	7	WBGene00002889	-	0	4.0	let-765	-1.231262	Oogenic	32.2946	13.3908	WBGene00002889	Oogenic only	WBGene00002889	protein_coding	III	3'UTR
I	10943991	10944028	2	WBGene00045434	+	0	2.0	Y95D11A.3	-1.545603	Oogenic	61.8177	21.8051	WBGene00045434	Oogenic only	WBGene00045434	protein_coding	I	3'UTR
III	9337020	9337055	3	WBGene00001263	-	0	3.0	emb-9	1.152632	Spermatogenic	18.0277	37.8159	WBGene00001263	Spermatogenic only	WBGene00001263	protein_coding	III	3'UTR
III	9337069	9337125	3	WBGene00001263	-	0	3.0	emb-9	1.152632	Spermatogenic	18.0277	37.8159	WBGene00001263	Spermatogenic only	WBGene00001263	protein_coding	III	3'UTR
III	13656423	13656489	4	WBGene00011729	+	0	4.0	set-16	-1.339708	Oogenic	10.0937	3.8465	WBGene00011729	Oogenic only	WBGene00011729	protein_coding	III	3'UTR
V	10685929	10686004	3	WBGene00001747	+	0	3.0	gsp-1	-0.0472173	Gender Neutral	168.765	160.158	WBGene00001747	Oogenic only	WBGene00001747	protein_coding	V	3'UTR
I	6761578	6761646	3	WBGene00006819	-	0	3.0	unc-87	0.155534	Gender Neutral	22.9449	26.1447	WBGene00006819	Oogenic and Spermatogenic	WBGene00006819	protein_coding	I	3'UTR
I	6761652	6761710	3	WBGene00006819	-	0	3.0	unc-87	0.155534	Gender Neutral	22.9449	26.1447	WBGene00006819	Oogenic and Spermatogenic	WBGene00006819	protein_coding	I	3'UTR
IV	2530218	2530263	2	WBGene00022087	+	0	2.0	Y69A2AR.16	0.2547028	Gender Neutral	28.5341	33.7516	WBGene00022087	Oogenic only	WBGene00022087	protein_coding	IV	3'UTR
I	4530615	4530673	3	WBGene00022473	-	0	3.0	bet-1	-0.3598036	Gender Neutral	57.5249	42.6249	WBGene00022473	Oogenic only	WBGene00022473	protein_coding	I	CDS
II	6374262	6374332	7	WBGene00003009	+	0	4.0	lin-23	-0.1589215	Gender Neutral	93.415	80.2649	WBGene00003009	Oogenic only	WBGene00003009	protein_coding	II	3'UTR
II	13461199	13461276	2	WBGene00008446	-	0	2.0	E01G4.3					WBGene00008446	Oogenic and Spermatogenic	WBGene00008446	protein_coding	II	3'UTR
III	12599813	12599857	2	WBGene00007030	-	0	2.0	epc-1	0.08459456	Gender Neutral	34.6452	35.7545	WBGene00007030	Oogenic only	WBGene00007030	protein_coding	III	3'UTR
III	12599933	12599985	4	WBGene00007030	-	0	4.0	epc-1	0.08459456	Gender Neutral	34.6452	35.7545	WBGene00007030	Oogenic only	WBGene00007030	protein_coding	III	3'UTR
III	7700498	7700538	3	WBGene00003002	-	0	3.0	lin-13	0.4573964	Gender Neutral	33.7814	44.2742	WBGene00003002	Oogenic only	WBGene00003002	protein_coding	III	3'UTR
